Month ID,Store ID #,Sub ID#,Electricity acct #,Start date,End date,Consumption month,NOD,Acct./Invoice month,Statement month,Season (H/L),Billing Authority,Tariff Name,Estimate ( E ),TOU/ Non-TOU (T/N),Standard_Start of period,Standard_End of period,Standard_Constant/Factor,Standard_Meter (kWh),Unnamed: 19,Standard/Consump. (kWh), Standard/Amount (R) , Standard/Rate (R/kWh) ,Peak_Start of period,Peak_End of period,Peak_Constant/Factor,Peak_Meter (kWh),Unnamed: 27,Peak_Consump. (kWh),Peak_Amount (R), Peak_Rate (R/kWh) ,kWh Reading (Off-Peak)_Start of period,kWh Reading (Off-Peak)_End of period,kWh Reading (Off-Peak)_Constant/Factor,kWh Reading (Off-Peak)_Meter (kWh),Unnamed: 35,Off-peak_Consump. (kWh),Off-peak_Amount (R), Off-peak_Rate (R/kWh) ,Total_Consump. (kWh),Total_Amount (R), Total_Rate (R/kWh) ,Energy demand charges_Max Demand (kVA), Energy demand charges_Amount (R) , Energy demand charges_Rate (R/kVA) , Capacity charge_Supply capacity (A) , Capacity charge_# POS , Capacity charge_Amount (R) , Capacity charge_Rate (R/A.POS) , Basic/Service_Amount (R) , Basic/Service_Rate (R/period) , Admin_Amount (R) , Admin_Rate (R/unit) ,Total_Amount(R),Electrf. & Rural_Amount (R),Electrf. & Rural_Rate (R/kWh), ENV_Amount (R) ,ENV_Rate (R/kWh),Transm. Network charges_NMD,Transm. Network charges_Amount (R),Transm. Network charges_Rate (R/kVA), Network access_NMD , Network access_Amount (R) , Network access_Rate (R/kVA) , Demand Network Access Charge_NMD , Demand Network Access Charge_Amount ( R) , Rate/NMD (R/kVA) ,Network demand charge_MD,Network demand charge_Amount (R), Network demand charge_Rate/MD (R/kVA) ,Network charge_Rate (R/day),Network charge_Amount (R ),Reactive_Consump. (kVArh),Reactive_Amount (R),Reactive_Rate (R/kVArh), Excess Network Access charge_No of events , Excess Network Access charge_NMD Exceeded (kVA) ,Excess Network Access charge_Amount (R),Excess Network Access charge_Rate (R/kVA),Surcharges_Amount (R),Surcharges_Rate,Energy Charge Surcharge_Consump. (kWh), Energy Charge Surcharge_Amount ( R ) ,Energy Charge Surcharge_Rate,Other_Amount ( R),Other_Load Factor,Total_Amount (R).1,Total_Calc amount (R),Total_Eff. Rate (R/kWh),Site Name,Unnamed: 90
HUH0143800,HUH01,,3500304431.0,12/1/2019,1/1/2020,Dec-19, 31 ,1/22/2020,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,344949.6," 377,305.87 ", 1.0938 ,,,, -   ,,133089.6,221966.83, 1.6678 ,,,, -   ,,520573.2,449046.44, 0.8626 ,998612.4,1048319.14, 1.05 ,1918.687,141215.36, 73.60 ,,,,#DIV/0!," 3,036.59 ", 97.95 ,, -   ," 3,037 ",,0,,0,,,#DIV/0!," 2,101.74 "," 93,758.74 ", 44.61 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,286,329.83 ",R 1.29,," 1,466,416.01 "
HUH0143831,HUH01,,3500304431.0,1/1/2020,2/1/2020,Jan-20, 31 ,2/25/2020,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,382590.0," 418,476.94 ", 1.0938 ,,,, -   ,,153384.0,255813.84, 1.6678 ,,,, -   ,,435556.8,375711.3, 0.8626 ,971530.8,1050002.08, 1.08 ,2002.103,147354.78, 73.60 ,,,,#DIV/0!," 3,036.59 ", 97.95 ,, -   ," 3,037 ",,0,,0,,,#DIV/0!," 2,101.74 "," 93,758.74 ", 44.61 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,294,152.19 ",R 1.33,," 1,475,333.50 "
HUH0143862,HUH01,,3500304431.0,2/1/2020,3/1/2020,Feb-20, 29 ,3/23/2020,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,207132.0," 226,560.98 ", 1.0938 ,,,, -   ,,79725.6,132966.36, 1.6678 ,,,, -   ,,291627.6,251557.97, 0.8626 ,578485.2,611085.31, 1.06 ,2041.559,150258.74, 73.60 ,,,,#DIV/0!," 3,036.59 ", 104.71 ,, -   ," 3,037 ",,0,,0,,,#DIV/0!," 2,101.74 "," 93,758.74 ", 44.61 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 858,139.38 ",R 1.48,," 978,278.89 "
HUH0143891,HUH01,,3500304431.0,3/1/2020,4/1/2020,Mar-20, 31 ,4/21/2020,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,373963.2," 409,040.95 ", 1.0938 ,,,, -   ,,152332.8,254060.64, 1.6678 ,,,, -   ,,475494.0,410161.12, 0.8626 ,1001790.0,1073262.71, 1.07 ,2012.232,148100.28, 73.60 ,,,,#DIV/0!," 3,036.59 ", 97.95 ,, -   ," 3,037 ",,0,,0,,,#DIV/0!," 2,101.74 "," 93,758.74 ", 44.61 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,318,158.32 ",R 1.32,," 1,502,700.48 "
HUH0143922,HUH01,,3500304431.0,4/1/2020,5/1/2020,Apr-20, 30 ,5/22/2020,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,299140.8," 327,200.21 ", 1.0938 ,,,, -   ,,110341.2,184027.05, 1.6678 ,,,, -   ,,431444.4,372163.94, 0.8626 ,840926.4,883391.2, 1.05 ,1919.377,141266.15, 73.60 ,,,,#DIV/0!," 3,036.59 ", 101.22 ,, -   ," 3,037 ",,0,,0,,,#DIV/0!," 2,101.74 "," 93,758.74 ", 44.61 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,121,452.68 ",R 1.33,," 1,278,456.06 "
HUH0143952,HUH01,,3500304431.0,5/1/2020,6/1/2020,May-20, 31 ,6/23/2020,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,378564.0," 414,073.30 ", 1.0938 ,,,, -   ,,151034.4,251895.17, 1.6678 ,,,, -   ,,472434.0,407521.57, 0.8626 ,1002032.4,1073490.04, 1.07 ,1885.466,138770.3, 73.60 ,,,,#DIV/0!," 3,036.59 ", 97.95 ,, -   ," 3,037 ",,0,,0,,,#DIV/0!," 2,101.74 "," 93,758.74 ", 44.61 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,309,055.67 ",R 1.31,," 1,492,323.46 "
HUH0143983,HUH01,,3500304431.0,6/1/2020,7/1/2020,Jun-20, 30 ,7/28/2020,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,387384.0," 611,020.78 ", 1.5773 ,,,, -   ,,156129.6,699960.22, 4.4832 ,,,, -   ,,477409.2,453109.07, 0.9491 ,1020922.8,1764090.07, 1.73 ,1896.607,139590.28, 73.60 ,,,,#DIV/0!," 3,225.77 ", 107.53 ,, -   ," 3,226 ",,0,,0,,,#DIV/0!," 2,101.74 "," 93,758.74 ", 44.61 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 2,000,664.86 ",R 1.96,," 2,280,757.94 "
HUH0144013,HUH01,,3500304431.0,7/1/2020,8/1/2020,Jul-20, 31 ,8/17/2020,,,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,366402.0," 613,943.19 ", 1.6756 ,,,, -   ,,154024.8,733543.11, 4.7625 ,,,, -   ,,467528.4,471362.13, 1.0082 ,987955.2,1818848.43, 1.84 ,2077.024,162402.51, 78.19 ,,,,#DIV/0!," 3,225.77 ", 104.06 ,, -   ," 3,226 ",,0,,0,,,#DIV/0!," 2,107.75 "," 98,874.55 ", 46.91 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 2,083,351.26 ",R 2.11,," 2,375,020.44 "
HUH0144105,HUH01,,3500304431.0,10/1/2020,11/1/2020,Oct-20, 31 ,11/16/2020,,L,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,297560.4," 345,735.43 ", 1.1619 ,,,, -   ,,137001.6,242725.73, 1.7717 ,,,, -   ,,481664.4,441349.09, 0.9163 ,916226.4,1029810.25, 1.12 ,2175.7,170117.98, 78.19 ,,,,#DIV/0!," 3,225.77 ", 104.06 ,, -   ," 3,226 ",,0,,0,,,#DIV/0!," 2,128.24 "," 99,835.73 ", 46.91 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,302,989.73 ",R 1.42,," 1,498,438.19 "
HUH0144136,HUH01,,3500304431.0,11/1/2020,12/1/2020,Nov-20, 30 ,12/15/2020,,L,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,227452.8," 264,277.41 ", 1.1619 ,,,, -   ,,109345.2,193726.89, 1.7717 ,,,, -   ,,400028.4,366546.02, 0.9163 ,736826.4,824550.32, 1.12 ,2141.796,167467.03, 78.19 ,,,,#DIV/0!," 3,225.77 ", 107.53 ,, -   ," 3,226 ",,0,,0,,,#DIV/0!," 2,175.70 "," 102,062.08 ", 46.91 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,097,305.20 ",R 1.49,," 1,261,900.98 "
HUH0144197,HUH01,,3500304431.0,1/1/2021,2/1/2021,Jan-21, 31 ,2/21/2021,,L,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,248930.399," 289,232.23 ", 1.1619 ,,,, -   ,,118571.999,210074.01, 1.7717 ,,,, -   ,,390622.8,357927.67, 0.9163 ,758125.198,857233.91, 1.13 ,2046.462,160012.86, 78.19 ,,,,#DIV/0!," 3,225.77 ", 104.06 ,, -   ," 3,226 ",,0,,0,,,#DIV/0!," 2,175.70 "," 102,062.08 ", 46.91 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,122,534.62 ",R 1.48,," 1,279,689.47 "
HUH0144228,HUH01,,3500304431.0,2/1/2021,3/1/2021,Feb-21, 28 ,3/20/2021,,L,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,243043.165," 282,391.85 ", 1.1619 ,,,, -   ,,116621.999,206619.2, 1.7717 ,,,, -   ,,354862.834,325160.81, 0.9163 ,714527.998,814171.86, 1.14 ,2053.475,160561.21, 78.19 ,,,,#DIV/0!," 3,225.77 ", 115.21 ,, -   ," 3,226 ",,0,,0,,,#DIV/0!," 2,175.70 "," 102,062.08 ", 46.91 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,,,#DIV/0!,,,," 1,080,020.92 ",R 1.51,," 1,231,223.85 "
HUH0144256,HUH01,,3500304431.0,3/1/2021,4/1/2021,Mar-21, 31 ,4/18/2021,,L,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,138095.104," 160,452.70 ", 1.1619 ,,,, -   ,,69388.799,122936.14, 1.7717 ,,,, -   ,,233135.999,213622.52, 0.9163 ,440619.902,497011.36, 1.13 ,1988.592,155488.01, 78.19 ,,,,#DIV/0!," 3,225.77 ", 104.06 ,, -   ," 3,226 ",,0,,0,,,#DIV/0!," 2,175.70 "," 102,062.08 ", 46.91 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,4130.0," 15,404.90 ",3.73,,,," 773,192.12 ",R 1.75,," 889,170.94 "
HUH0144287,HUH01,,3500304431.0,4/1/2021,5/1/2021,Apr-21, 30 ,5/18/2021,,L,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,346771.198," 402,913.45 ", 1.1619 ,,,, -   ,,154676.4,274040.18, 1.7717 ,,,, -   ,,585859.2,536822.78, 0.9163 ,1087306.798,1213776.41, 1.12 ,2168.394,169546.73, 78.19 ,,,,#DIV/0!," 3,225.77 ", 107.53 ,, -   ," 3,226 ",,0,,0,,,#DIV/0!," 2,175.70 "," 102,062.08 ", 46.91 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,4130.0," 15,404.90 ",3.73,,,," 1,504,015.89 ",R 1.38,," 1,729,618.27 "
HUH0144317,HUH01,,3500304431.0,5/1/2021,6/1/2021,May-21, 31 ,6/21/2021,,L,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,290369.457," 337,380.27 ", 1.1619 ,,,, -   ,,129782.941,229936.44, 1.7717 ,,,, -   ,,512010.0,469154.76, 0.9163 ,932162.398,1036471.47, 1.11 ,2252.857,176150.89, 78.19 ,,,,#DIV/0!," 3,225.77 ", 104.06 ,, -   ," 3,226 ",,0,,0,,,#DIV/0!," 2,175.70 "," 102,062.08 ", 46.91 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,4130.0," 15,404.90 ",3.73,,,," 1,333,315.11 ",R 1.43,," 1,533,312.38 "
HUH0144348,HUH01,,3500304431.0,6/1/2021,7/1/2021,Jun-21, 30 ,7/19/2021,,H,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,297157.198," 497,916.60 ", 1.6756 ,,,, -   ,,152132.399,724530.55, 4.7625 ,,,, -   ,,468129.596,471968.26, 1.0082 ,917419.193,1694415.41, 1.85 ,2300.413,179869.29, 78.19 ,,,,#DIV/0!," 3,696.41 ", 123.21 ,, -   ," 3,696 ",,0,,0,,,#DIV/0!," 2,252.85 "," 105,681.19 ", 46.91 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,4130.0," 17,635.10 ",4.27,,,," 2,001,297.40 ",R 2.18,," 2,301,492.01 "
HUH0144378,HUH01,,3500304431.0,7/1/2021,8/1/2021,Jul-21, 31 ,8/18/2021,,H,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,341162.4," 655,031.81 ", 1.9200 ,,,, -   ,,163259.999,890975.12, 5.4574 ,,,, -   ,,489339.6,565334.04, 1.1553 ,993761.999,2111340.97, 2.12 ,2177.944,195122.0, 89.59 ,,,,#DIV/0!," 3,696.41 ", 119.24 ,, -   ," 3,696 ",,0,,0,,,#DIV/0!," 2,300.41 "," 123,670.04 ", 53.76 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,4130.0," 17,635.10 ",4.27,,,," 2,451,464.52 ",R 2.47,," 2,819,184.20 "
HUH0144409,HUH01,,3500304431.0,8/1/2021,9/1/2021,Aug-21, 31 ,9/17/2021,,H,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,306927.599," 589,300.99 ", 1.9200 ,,,, -   ,,156318.0,853089.85, 5.4574 ,,,, -   ,,474747.6,548475.9, 1.1553 ,937993.199,1990866.74, 2.12 ,2201.417,197224.95, 89.59 ,,,,#DIV/0!," 3,696.41 ", 119.24 ,, -   ," 3,696 ",,0,,0,,,#DIV/0!," 2,300.41 "," 123,670.04 ", 53.76 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,4130.0," 17,635.10 ",4.27,,,," 2,333,093.24 ",R 2.49,," 2,683,057.23 "
HUH0144440,HUH01,,3500304431.0,9/1/2021,10/1/2021,Sep-21, 30 ,10/19/2021,,L,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,268448.399," 357,439.04 ", 1.3315 ,,,, -   ,,125362.8,254511.56, 2.0302 ,,,, -   ,,417439.2,438311.16, 1.0500 ,811250.399,1050261.76, 1.29 ,2123.233,190220.44, 89.59 ,,,,#DIV/0!," 3,696.41 ", 123.21 ,, -   ," 3,696 ",,0,,0,,,#DIV/0!," 2,300.41 "," 123,670.04 ", 53.76 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,4130.0," 17,635.10 ",4.27,,,," 1,385,483.75 ",R 1.71,," 1,593,306.31 "
HUH0144470,HUH01,,3500304431.0,10/1/2021,11/1/2021,Oct-21, 31 ,11/17/2021,,L,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,230076.0," 306,346.19 ", 1.3315 ,,,, -   ,,106161.599,215529.28, 2.0302 ,,,, -   ,,397883.999,417778.2, 1.0500 ,734121.598,939653.67, 1.28 ,1867.417,167301.89, 89.59 ,,,,#DIV/0!," 3,696.41 ", 119.24 ,, -   ," 3,696 ",,0,,0,,,#DIV/0!," 2,300.41 "," 123,670.04 ", 53.76 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,4130.0," 17,635.10 ",4.27,,,," 1,251,957.11 ",R 1.71,," 1,439,750.68 "
HUH0144501,HUH01,,3500304431.0,11/1/2021,12/1/2021,Nov-21, 30 ,12/15/2021,,L,Ekurhuleni Municipality,Ekurhuleni tariff D >230/400V & <=11kV,,T,,,, -   ,,285091.199," 379,598.93 ", 1.3315 ,,,, -   ,,120770.4,245188.07, 2.0302 ,,,, -   ,,429381.6,450850.68, 1.0500 ,835243.199,1075637.68, 1.29 ,1950.067,174706.5, 89.59 ,,,,#DIV/0!," 3,696.41 ", 123.21 ,, -   ," 3,696 ",,0,,0,,,#DIV/0!," 2,300.41 "," 123,670.04 ", 53.76 ,,,#DIV/0!,,,#DIV/0!,,0,,,#DIV/0!,,,,#DIV/0!,,0%,4130.0," 17,635.10 ",4.27,,,," 1,395,345.73 ",R 1.67,," 1,604,647.59 "
